판매소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업자등록번호,대형폐기물스티커판매여부,영업상태명,전화번호,지정일자,폐업일자,관리기관명,데이터기준일자
빅세일마트 동국점,부산광역시,해운대구,"부산광역시 해운대구 재송2로 91 (재송동, 센텀동국아파트) 빅세일마트동국점",부산광역시 해운대구 재송동 1182-1 센텀동국아파트,,,874-74-00095,N,영업,051-782-6442,2016-07-12,,부산광역시 해운대구,2026-01-09
(재)아름다운가게 해운대점,부산광역시,해운대구,"부산광역시 해운대구 해운대로 637, 현대빌딩1층",부산광역시 해운대구 우동 553-4,,,617-82-08960,N,영업,051-747-8701,2021-04-29,,부산광역시 해운대구,2026-01-09
(주)만복유통 반송지점,부산광역시,해운대구,부산광역시 해운대구 윗반송로35번길 68 (반송동) 농심가 윗반송점,부산광역시 해운대구 반송동 40-808,,,674-85-00905,N,영업,051-543-3358,2018-12-17,,부산광역시 해운대구,2026-01-09
(주)미진유통,부산광역시,해운대구,부산광역시 해운대구 재반로 176,부산광역시 해운대구 재송동 1150-7,,,000-00-00000,N,영업,051-782-2270,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)부민두배로마트,부산광역시,해운대구,부산광역시 해운대구 해운대로594번길 5(우1동),부산광역시 해운대구 우동 639-9,,,102-15-52297,N,영업,051-747-9087,2020-06-18,,부산광역시 해운대구,2026-01-09
(주)서원유통 탑마트 반여점,부산광역시,해운대구,부산광역시 해운대구 선수촌로119,부산광역시 해운대구 반여동 1217-5,,,164-85-00238,N,영업,051-525-0422,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)서원유통탑마트 반송점,부산광역시,해운대구,부산광역시 해운대구 윗반송로8,부산광역시 해운대구 반송동 278-1 반송동탑마트,,,116-85-09827,N,영업,051-545-3217,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)서원유통탑마트 해운대점,부산광역시,해운대구,부산광역시 해운대구 중동2로 12(중동),부산광역시 해운대구 중동 1372-6,,,000-00-00000,N,영업,051-704-9009,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)신세계 센텀시티점,부산광역시,해운대구,부산광역시 해운대구 센텀남대로 35,부산광역시 해운대구 우동 1495,,,201-81-32195,N,영업,051-745-1041,2018-10-15,,부산광역시 해운대구,2026-01-09
(주)에이치에스엠쉬핑 센텀25,부산광역시,해운대구,부산광역시 해운대구 센텀중앙로 97 (재송동) A동 C-104호,부산광역시 해운대구 재송동 1208-2 센텀스카이비즈,,,605-81-97105,N,영업,000-000-0000,2025-12-04,,부산광역시 해운대구,2026-01-09
(주)이마트에브리데이부산반여점,부산광역시,해운대구,부산광역시 해운대구 선수촌로 65-7 (반여동) 외3필지,부산광역시 해운대구 반여동 1440-11,,,206-86-50913,N,영업,000-000-0000,2024-02-14,,부산광역시 해운대구,2026-01-09
(주)이마트해운대점,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 511 (중동) 이마트해운대점,부산광역시 해운대구 중동 1767 이마트해운대점,,,206-86-50913,N,영업,051-608-1054,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 부산반송그린점,부산광역시,해운대구,"부산광역시 해운대구 신반송로 102 (반송동, 삼한그린타운2차) 상가 제213동 지하101,102,103호",부산광역시 해운대구 반송동 872 삼한그린타운2차,,,450-85-00629,N,영업,000-000-0000,2018-03-07,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 부산반여센텀점,부산광역시,해운대구,"부산광역시 해운대구 선수촌로 95 (반여동, 센텀대림아파트) 제상가13동 제1층 101,102,103호",부산광역시 해운대구 반여동 1199-11 센텀대림아파트,,,428-85-02197,N,영업,051-513-4834,2023-03-27,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 부산반여양지점,부산광역시,해운대구,부산광역시 해운대구 재반로256번길 29-13 (반여동) 1층 전체,부산광역시 해운대구 반여동 1592-13,,,395-85-02145,N,영업,051-513-4850,2023-03-22,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 부산윗반송점,부산광역시,해운대구,부산광역시 해운대구 윗반송로51번길 186 (반송동) 1층,부산광역시 해운대구 반송동 7-197,,,254-85-01791,N,영업,051-544-0327,2021-12-16,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 부산좌동중앙점,부산광역시,해운대구,부산광역시 해운대구 세실로69번길 11 (좌동) 1층 코너(부분),부산광역시 해운대구 좌동 1465-1,,,891-85-01251,N,영업,000-000-0000,2022-11-02,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 센텀대림점,부산광역시,해운대구,부산광역시 해운대구 해운대로76번길 58 (재송동),부산광역시 해운대구 재송동 939-23,,,607-85-40931,N,영업,000-000-0000,2025-01-07,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 송정그린웨이점,부산광역시,해운대구,부산광역시 해운대구 해운대로 1140-17 (송정동),부산광역시 해운대구 송정동 127-13,,,641-85-02413,N,영업,000-000-0000,2017-12-01,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 재송중앙점,부산광역시,해운대구,부산광역시 해운대구 재송1로32번길 3 (재송동) 스마트빌딩주건축물제1동 1층(부분),부산광역시 해운대구 재송동 1077-1,,,316-85-08980,N,영업,000-000-0000,2023-03-09,,부산광역시 해운대구,2026-01-09
(주)코리아세븐부산신송정해변점,부산광역시,해운대구,부산광역시 해운대구 송정중앙로6번길 118 (송정동) 주건축물 제1동,부산광역시 해운대구 송정동 312-8,,,532-85-02410,N,영업,000-000-0000,2024-01-15,,부산광역시 해운대구,2026-01-09
(주)코리아세븐부산해운대팔레드,부산광역시,해운대구,부산광역시 해운대구 해운대해변로298번길 24 (중동) 상가1-31호,부산광역시 해운대구 중동 1124-2 팔레드시즈,,,410-85-54092,N,영업,000-000-0000,2024-03-27,,부산광역시 해운대구,2026-01-09
CU 우동뉴스타점,부산광역시,해운대구,부산광역시 해운대구 우동3로 11번길 3,부산광역시 해운대구 우동 196-4,,,218-23-08499,N,영업,000-000-0000,2017-02-07,,부산광역시 해운대구,2026-01-09
CU 해운대비치점,부산광역시,해운대구,"부산광역시 해운대구 구남로18번길 24, 102호, 해운대비치o/t",부산광역시 해운대구 우동 541-6,,,000-00-00000,N,영업,000-000-0000,2017-05-16,,부산광역시 해운대구,2026-01-09
cu중동로데오점,부산광역시,해운대구,부산광역시 해운대구 좌동순환로473,부산광역시 해운대구 중동 1775-7,,,000-00-00000,N,영업,000-000-0000,2016-01-19,,부산광역시 해운대구,2026-01-09
CU편의점(온누리점),부산광역시,해운대구,"부산광역시 해운대구 좌동순환로 80, 1층",부산광역시 해운대구 좌동 1270-1,,,674-24-00340,N,영업,051-743-3370,2017-11-03,,부산광역시 해운대구,2026-01-09
CU해운대 솔밭예술마을점,부산광역시,해운대구,부산광역시 해운대구 중동1로17번길 15-7 101호,부산광역시 해운대구 우동 598-4 해운대파크에비뉴,,,209-30-42680,N,영업,051-747-2159,2017-02-01,,부산광역시 해운대구,2026-01-09
DC 클럽,부산광역시,해운대구,부산광역시 해운대구 재반로 83 화성빌딩 지하,부산광역시 해운대구 재송동 1089-8,,,617-23-21952,N,영업,051-782-5483,2019-02-11,,부산광역시 해운대구,2026-01-09
GS25 더샵센텀스타점,부산광역시,해운대구,"부산광역시 해운대구 센텀동로 123,14호",부산광역시 해운대구 재송동 1196,,,885-15-00574,N,영업,051-782-3350,2021-04-23,,부산광역시 해운대구,2026-01-09
GS25 반여대우점,부산광역시,해운대구,부산광역시 해운대구 선수촌로 41,부산광역시 해운대구 반여동 1405-55,,,158-16-01158,N,영업,000-000-0000,2022-10-27,,부산광역시 해운대구,2026-01-09
GS25 반여현대점,부산광역시,해운대구,"부산광역시 해운대구 재반로282번길 112 (반여동, 현대아파트) 상가7동 101호",부산광역시 해운대구 반여동 1581-6,,,428-24-01784,N,영업,000-000-0000,2023-12-13,,부산광역시 해운대구,2026-01-09
GS25 베르나움점,부산광역시,해운대구,"부산광역시 해운대구 양운로 45 (좌동) 1층 106호, 107호",부산광역시 해운대구 좌동 1476-1,,,617-37-39352,N,영업,000-000-0000,2025-01-02,,부산광역시 해운대구,2026-01-09
GS25 부흥사거리,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로 237, 102호(좌4동, 세실빌딩)",부산광역시 해운대구 좌동 1429-6,,,384-25-01235,N,영업,051-704-0376,2020-11-06,,부산광역시 해운대구,2026-01-09
GS25 센텀글로리아점,부산광역시,해운대구,부산광역시 해운대구 재송2로 74번길 23,부산광역시 해운대구 재송동 1162-21,,,806-01-01312,N,영업,051-781-2244,2018-12-26,,부산광역시 해운대구,2026-01-09
GS25 센텀삼익점,부산광역시,해운대구,"부산광역시 해운대구 해운대로61번가길 6 (재송동, 센텀삼익아파트) 상가동 103105호",부산광역시 해운대구 재송동 1023,,,540-43-01085,N,영업,000-000-0000,2023-10-31,,부산광역시 해운대구,2026-01-09
GS25 센텀현대점,부산광역시,해운대구,부산광역시 해운대구 해운대로469번길 190,부산광역시 해운대구 우동 1102-221,,,645-03-01180,N,영업,051-741-7410,2019-02-12,,부산광역시 해운대구,2026-01-09
GS25 송정강변점,부산광역시,해운대구,"부산광역시 해운대구 송정강변로 51 (송정동, 태림그린빌) 102호",부산광역시 해운대구 송정동 183-17,,,684-65-00618,N,영업,000-000-0000,2023-11-27,,부산광역시 해운대구,2026-01-09
GS25 송정프리미엄,부산광역시,해운대구,"부산광역시 해운대구 송정해변로 40 (송정동) 1,2층",부산광역시 해운대구 송정동 297-66,,,143-11-02882,N,영업,000-000-0000,2023-06-26,,부산광역시 해운대구,2026-01-09
GS25 재송원룸점,부산광역시,해운대구,부산광역시 해운대구 재반로42번길22 1동,부산광역시 해운대구 재송동 115-11,,,514-75-00055,N,영업,000-000-0000,2018-01-19,,부산광역시 해운대구,2026-01-09
GS25 재송재반로점,부산광역시,해운대구,"부산광역시 해운대구 재반로107, 1층 3호",부산광역시 해운대구 재송동 1061-6,,,552-28-01315,N,영업,000-000-0000,2022-10-26,,부산광역시 해운대구,2026-01-09
GS25 좌동코오롱점,부산광역시,해운대구,부산광역시 해운대구 대천로 38 (중동) 201호(중동),부산광역시 해운대구 중동 142-8,,,227-21-62265,N,영업,000-000-0000,2025-10-31,,부산광역시 해운대구,2026-01-09
GS25 청사포점,부산광역시,해운대구,"부산광역시 해운대구 청사포로128번길 6, 1층",부산광역시 해운대구 중동 577,,,180-32-00670,N,영업,000-000-0000,2019-05-31,,부산광역시 해운대구,2026-01-09
GS25 트럼프월드점,부산광역시,해운대구,"부산광역시 해운대구 센텀동로 9 (우동, 트럼프월드센텀아파트) 106호",부산광역시 해운대구 우동 1498,,,395-29-01325,N,영업,000-000-0000,2023-08-29,,부산광역시 해운대구,2026-01-09
GS25 해운대영남점,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로311번길 8, 상가108동 108호~109호(좌동)",부산광역시 해운대구 좌동 1328,,,811-59-00709,N,영업,000-000-0000,2023-04-14,,부산광역시 해운대구,2026-01-09
GS25 해운대자이점,부산광역시,해운대구,부산광역시 해운대구 해운대구 해운대로 435,부산광역시 해운대구 우동 1529,,,812-30-01340,N,영업,000-000-0000,2017-03-21,,부산광역시 해운대구,2026-01-09
GS25 해운대투모로우점,부산광역시,해운대구,"부산광역시 해운대구 양운로 53 (좌동) 113호, 114호",부산광역시 해운대구 좌동 1475-3,,,617-37-40408,N,영업,000-000-0000,2025-01-02,,부산광역시 해운대구,2026-01-09
GS25 해운레미안점,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로412번길 5, 1층",부산광역시 해운대구 중동 778-17,,,457-23-00205,N,영업,000-000-0000,2018-06-28,,부산광역시 해운대구,2026-01-09
GS25 해운마린시티,부산광역시,해운대구,"부산광역시 해운대구 마린시티3로 23, 1층 101-A, 102호",부산광역시 해운대구 우동 1435,,,114-17-09346,N,영업,000-000-0000,2023-02-02,,부산광역시 해운대구,2026-01-09
GS25 해운스카이점,부산광역시,해운대구,부산광역시 해운대구 재반로152번길 8-7,부산광역시 해운대구 재송동 1146-47,,,255-05-01657,N,영업,000-000-0000,2022-09-16,,부산광역시 해운대구,2026-01-09
GS25 해운주성점,부산광역시,해운대구,"부산광역시 해운대구 세실로27번길 17,101호(좌동, 주성프라자)",부산광역시 해운대구 좌동 1483-1,,,796-14-02066,N,영업,000-000-0000,2018-10-23,,부산광역시 해운대구,2026-01-09
GS25 해운중동역점,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 5 (중동) 101동 105호,부산광역시 해운대구 중동 1754-3,,,681-40-01390,N,영업,000-000-0000,2025-09-09,,부산광역시 해운대구,2026-01-09
GS25반송하늘점,부산광역시,해운대구,"부산광역시 해운대구 아랫반송로29번길 92, 1층",부산광역시 해운대구 반송동 250-267,,,580-85-00857,N,영업,051-544-0011,2020-11-02,,부산광역시 해운대구,2026-01-09
GS25반여네오점,부산광역시,해운대구,"부산광역시 해운대구 선수촌로 124, 104호",부산광역시 해운대구 반여동 1631,,,000-00-00000,N,영업,051-527-9956,2017-10-26,,부산광역시 해운대구,2026-01-09
GS25반여선수촌로점,부산광역시,해운대구,부산광역시 해운대구 선수촌로 119,부산광역시 해운대구 반여동 1217-5,,,617-35-53971,N,영업,000-000-0000,2016-08-05,,부산광역시 해운대구,2026-01-09
GS25재송센트레빌,부산광역시,해운대구,"부산광역시 해운대구 해운대로177번길 20,1층",부산광역시 해운대구 재송동 404-2,,,794-35-00446,N,영업,000-000-0000,2017-11-22,,부산광역시 해운대구,2026-01-09
GS25좌동 삼성점,부산광역시,해운대구,부산광역시 해운대구 세실로 174,부산광역시 해운대구 좌동 1413,,,000-00-00000,N,영업,000-000-0000,2017-07-13,,부산광역시 해운대구,2026-01-09
GS25좌동남선점,부산광역시,해운대구,"부산광역시 해운대구 좌동로 98, 109호(좌동, 디베르비타)",부산광역시 해운대구 좌동 1461-6,,,817-03-01131,N,영업,000-000-0000,2018-07-23,,부산광역시 해운대구,2026-01-09
GS25해운벽산점,부산광역시,해운대구,"부산광역시 해운대구 세실로 48 (좌동, 해운대삼정코아주상복합) 104-116",부산광역시 해운대구 좌동 1315,,,617-22-71436,N,영업,000-000-0000,2024-01-31,,부산광역시 해운대구,2026-01-09
GS25해운제이드,부산광역시,해운대구,"부산광역시 해운대구 해운대해변로197번길 18, 1층",부산광역시 해운대구 우동 867,,,000-00-00000,N,영업,051-746-0316,2017-05-16,,부산광역시 해운대구,2026-01-09
GS25해운화목,부산광역시,해운대구,부산광역시 해운대구 대천로 187 화목타운 분산상가 102,부산광역시 해운대구 좌동 1310,,,290-16-00389,N,영업,000-000-0000,2016-07-15,,부산광역시 해운대구,2026-01-09
GS25해운후레쉬,부산광역시,해운대구,부산광역시 해운대구 구남로 22,부산광역시 해운대구 우동 542-5,,,617-32-97089,N,영업,051-743-1634,2017-07-06,,부산광역시 해운대구,2026-01-09
GS더프레시 부산센텀점,부산광역시,해운대구,부산광역시 해운대구 해운대로76번길 65 (재송동) 1층,부산광역시 해운대구 재송동 939-18,,,150-48-01102,N,영업,000-000-0000,2025-07-18,,부산광역시 해운대구,2026-01-09
GS더프레시 센텀시티점,부산광역시,해운대구,부산광역시 해운대구 센텀2로 19,부산광역시 해운대구 우동 1504,,,408-30-51767,N,영업,000-000-0000,2022-05-11,,부산광역시 해운대구,2026-01-09
i마트(아이마트),부산광역시,해운대구,부산광역시 해운대구 아랫반송로26번길 33 (반송동) 1층,부산광역시 해운대구 반송동 723-33,,,617-37-54635,N,영업,051-545-5999,2017-05-16,,부산광역시 해운대구,2026-01-09
LG25시 재송점,부산광역시,해운대구,부산광역시 해운대구 해운대로143번길 20,부산광역시 해운대구 재송동 1100-10,,,000-00-00000,N,영업,051-782-0091,2017-05-16,,부산광역시 해운대구,2026-01-09
THE NATURE,부산광역시,해운대구,부산광역시 해운대구 마린시티2로 33 두산위브제니스상가 104동 140호,부산광역시 해운대구 우동 1407,,,617-31-99057,N,영업,051-747-7780,2018-05-30,,부산광역시 해운대구,2026-01-09
거창한슈퍼,부산광역시,해운대구,부산광역시 해운대구 선수촌로 10 (반여동) 반여동,부산광역시 해운대구 반여동 1358,,,618-01-90289,N,영업,051-527-7049,2017-05-16,,부산광역시 해운대구,2026-01-09
경남상회,부산광역시,해운대구,부산광역시 해운대구 아랫반송로50번길 23,부산광역시 해운대구 반송동 250-969,,,000-00-00000,N,영업,051-544-2330,2017-05-16,,부산광역시 해운대구,2026-01-09
경북상회,부산광역시,해운대구,부산광역시 해운대구 아랫반송로60번길 17,부산광역시 해운대구 반송동 250-1331,,,000-00-00000,N,영업,051-544-6155,2017-05-16,,부산광역시 해운대구,2026-01-09
고래진할인마트,부산광역시,해운대구,부산광역시 해운대구 송정1로 10,부산광역시 해운대구 송정동 141-5,,,000-00-00000,N,영업,051-721-4457,2017-05-16,,부산광역시 해운대구,2026-01-09
과일파는고릴라,부산광역시,해운대구,부산광역시 해운대구 재반로 213 (반여동) 1층,부산광역시 해운대구 반여동 1291-562,,,138-26-00834,N,영업,000-000-0000,2024-05-16,,부산광역시 해운대구,2026-01-09
국군복지단-무지개마트,부산광역시,해운대구,부산광역시 해운대구 우동3로 94 (우동) 군부대마트,부산광역시 해운대구 우동 산14,,,617-83-01611,N,영업,051-644-4675,2020-11-24,,부산광역시 해운대구,2026-01-09
국군복지단-장산마을마트,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로15번길 24 (좌동, 장산마을아파트) 군부대 마트",부산광역시 해운대구 좌동 1363-1,,,617-83-01611,N,영업,051-644-4675,2017-05-16,,부산광역시 해운대구,2026-01-09
국일철물,부산광역시,해운대구,부산광역시 해운대구 해운대로 381-3,부산광역시 해운대구 우동 1090-13,,,000-00-00000,N,영업,051-746-5262,2017-05-16,,부산광역시 해운대구,2026-01-09
굿모닝마트,부산광역시,해운대구,"부산광역시 해운대구 아랫반송로26번길 21(반송동, 1층)",부산광역시 해운대구 반송동 723-5,,,000-00-00000,N,영업,000-000-0000,2017-05-16,,부산광역시 해운대구,2026-01-09
굿모닝마트,부산광역시,해운대구,부산광역시 해운대구 신반송로 102,부산광역시 해운대구 반송동 872 삼한그린타운2차,,,000-00-00000,N,영업,051-544-0080,2017-05-16,,부산광역시 해운대구,2026-01-09
그린후레쉬마트,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로217번길 19, 지하층 101호(엘아이지건영)",부산광역시 해운대구 좌동 1414,,,264-03-01939,N,영업,051-704-0477,2020-12-31,,부산광역시 해운대구,2026-01-09
글로리마트,부산광역시,해운대구,부산광역시 해운대구 윗반송로35번길 118,부산광역시 해운대구 반송동 40-489,,,618-02-28104,N,영업,051-542-6709,2017-05-16,,부산광역시 해운대구,2026-01-09
글로리스토아,부산광역시,해운대구,부산광역시 해운대구 재반로256번길 13-54,부산광역시 해운대구 반여동 1593-19,,,000-00-00000,N,영업,051-783-4661,2017-05-16,,부산광역시 해운대구,2026-01-09
금정슈퍼,부산광역시,해운대구,부산광역시 해운대구 송정중앙로6번길 186,부산광역시 해운대구 송정동 437-4,,,000-00-00000,N,영업,051-544-6599,2017-05-16,,부산광역시 해운대구,2026-01-09
난다리테일 재송,부산광역시,해운대구,부산광역시 해운대구 재반로84번길 52 (재송동) 1층,부산광역시 해운대구 재송동 1120-7,,,254-06-03149,N,영업,051-783-4521,2025-08-06,,부산광역시 해운대구,2026-01-09
남경상회,부산광역시,해운대구,부산광역시 해운대구 해운대로61번길 13,부산광역시 해운대구 재송동 179-68,,,000-00-00000,N,영업,051-781-8885,2017-05-16,,부산광역시 해운대구,2026-01-09
농심가체인,부산광역시,해운대구,부산광역시 해운대구 윗반송로35번길 68,부산광역시 해운대구 반송동 40-808,,,000-00-00000,N,영업,051-542-5592,2017-05-16,,부산광역시 해운대구,2026-01-09
농축산마트 해운대점,부산광역시,해운대구,부산광역시 해운대구 우동2로 50-4,부산광역시 해운대구 우동 394-13,,,499-88-01997,N,영업,051-743-7600,2021-05-25,,부산광역시 해운대구,2026-01-09
누리마트,부산광역시,해운대구,부산광역시 해운대구 대천로67번길 12,부산광역시 해운대구 좌동 1278-1,,,000-00-00000,N,영업,051-731-6331,2017-06-23,,부산광역시 해운대구,2026-01-09
뉴G플러스마트,부산광역시,해운대구,부산광역시 해운대구 해운대로81번가길 47,부산광역시 해운대구 재송동 1040-1,,,152-17-00518,N,영업,000-000-0000,2017-02-08,,부산광역시 해운대구,2026-01-09
뉴한국마트,부산광역시,해운대구,부산광역시 해운대구 구남로41번길 30(중동),부산광역시 해운대구 중동 1394-24,,,343-42-00625,N,영업,051-742-5748,2019-05-27,,부산광역시 해운대구,2026-01-09
다모아,부산광역시,해운대구,"부산광역시 해운대구 재반로211번길 26, 1층",부산광역시 해운대구 반여동 1291-667,,,683-12-01087,N,영업,000-000-0000,2021-12-03,,부산광역시 해운대구,2026-01-09
달맞이장터,부산광역시,해운대구,부산광역시 해운대구 달맞이길117번나길 133-3,부산광역시 해운대구 중동 1478-5,,,305-43-61118,N,영업,051-742-2004,2019-04-10,,부산광역시 해운대구,2026-01-09
담배포,부산광역시,해운대구,부산광역시 해운대구 좌동순환로468번가길 33,부산광역시 해운대구 중동 856-1,,,000-00-00000,N,영업,051-752-7210,2017-05-16,,부산광역시 해운대구,2026-01-09
대경슈퍼,부산광역시,해운대구,부산광역시 해운대구 재반로270번길 55,부산광역시 해운대구 반여동 1582-13,,,000-00-00000,N,영업,051-783-7295,2017-05-16,,부산광역시 해운대구,2026-01-09
